iter	RMSE
0	16495.75734
1	15028.20053
2	13677.84473
3	12472.49911
4	11386.64541
5	10394.05095
6	9481.554083
7	8656.83801
8	7910.933543
9	7218.399451
10	6602.296478
11	6036.11824
12	5531.885562
13	5064.97652
14	4644.142224
15	4262.43063
16	3911.607655
17	3594.99609
18	3301.971211
19	3045.340541
20	2799.890286
21	2575.689778
22	2370.659241
23	2187.958544
24	2020.767448
25	1864.710983
26	1723.116491
27	1596.473291
28	1479.387177
29	1374.899975
30	1276.399319
31	1187.282211
32	1105.99211
33	1033.193931
34	966.7909384
35	905.927754
36	849.7535011
37	800.8241943
38	755.3587693
39	714.8586702
40	678.0528716
41	643.5554224
42	614.1673878
43	586.8060694
44	562.0466814
45	540.0890217
46	520.322547
47	502.7664252
48	487.1470209
49	473.305287
