iter	Passed	Remaining
0	175	8576
1	195	4690
2	212	3325
3	230	2648
4	251	2259
5	274	2016
6	294	1806
7	318	1671
8	335	1529
9	356	1425
10	374	1329
11	393	1247
12	425	1211
13	448	1154
14	470	1097
15	491	1044
16	522	1014
17	549	977
18	578	943
19	608	913
20	630	870
21	656	835
22	681	799
23	708	767
24	730	730
25	757	699
26	786	669
27	812	638
28	842	609
29	868	579
30	902	553
31	953	536
32	1014	522
33	1066	501
34	1129	484
35	1191	463
36	1223	430
37	1267	400
38	1305	368
39	1339	334
40	1371	301
41	1403	267
42	1437	234
43	1467	200
44	1499	166
45	1537	133
46	1567	100
47	1607	66
48	1651	33
49	1693	0
